Movie Title,Release Year,Storyline,Movie Genre,Movie Duration,IMDb Movie Rating,Movie Certification,IMDb Users Votes
Modern Times,1936,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,"Comedy, Drama, Romance",1h 27m,8.5/10,G,241K
Once Upon a Time in the West,1968,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Western,2h 45m,8.5/10,U,327K
Rear Window,1954,,"Mystery, Thriller",1h 52m,8.5/10,U,487K
Alien,1979,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.,"Horror, Sci-Fi",1h 57m,8.5/10,R,871K
City Lights,1931,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","Comedy, Drama, Romance",1h 27m,8.5/10,G,184K
Nuovo Cinema Paradiso,1988,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,"Drama, Romance",2h 35m,8.5/10,U,259K
Apocalypse Now,1979,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,"Drama, Mystery, War",2h 27m,8.5/10,R,661K
Memento,2000,A man with short-term memory loss attempts to track down his wife's murderer.,"Mystery, Thriller",1h 53m,8.4/10,UA,1.2M
Raiders of the Lost Ark,1981,"Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","Action, Adventure",1h 55m,8.4/10,A,957K
Django Unchained,2012,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","Drama, Western",2h 45m,8.4/10,A,1.5M
WALL·E,2008,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Animation, Adventure, Family",1h 38m,8.4/10,U,1.1M
The Lives of Others,2006,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Drama, Mystery, Thriller",2h 17m,8.4/10,A,387K
Sunset Blvd.,1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama, Film-Noir",1h 50m,8.4/10,Passed,221K
Paths of Glory,1957,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.","Drama, War",1h 28m,8.4/10,A,196K
The Shining,1980,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama, Horror",2h 26m,8.4/10,A,1M
The Great Dictator,1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Comedy, Drama, War",2h 5m,8.4/10,G,223K
Avengers: Infinity War,2018,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,"Action, Adventure, Sci-Fi",2h 29m,8.4/10,UA,1.1M
Witness for the Prosecution,1957,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime, Drama, Mystery",1h 56m,8.4/10,U,125K
Top Gun: Maverick,2022,,"Action, Drama",2h 10m,8.5/10,UA,359K
Aliens,1986,,"Action, Adventure, Sci-Fi",2h 17m,8.4/10,U,711K
American Beauty,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,2h 2m,8.4/10,UA,1.1M
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy, War",1h 35m,8.4/10,A,487K
Spider-Man: Into the Spider-Verse,2018,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation, Action, Adventure",1h 57m,8.4/10,U,514K
The Dark Knight Rises,2012,"Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","Action, Drama",2h 44m,8.4/10,UA,1.7M
Oldeuboi,2003,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Action, Drama, Mystery",1h 41m,8.4/10,A,572K
Joker,2019,A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.,"Crime, Drama, Thriller",2h 2m,8.4/10,A,1.2M
Amadeus,1984,,"Biography, Drama, Music",2h 40m,8.4/10,PG,399K
Braveheart,1995,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography, Drama, History",2h 58m,8.4/10,A,1M
Toy Story,1995,A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation, Adventure, Comedy",1h 21m,8.3/10,U,983K
Coco,2017,"Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation, Adventure, Comedy",1h 45m,8.4/10,U,495K
Inglourious Basterds,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure, Drama, War",2h 33m,8.3/10,A,1.4M
Das Boot,1981,"The claustrophobic world of a WWII German U-boat; boredom, filth and sheer terror.","Drama, War",2h 29m,8.4/10,AA,250K
Mononoke-hime,1997,,"Animation, Action, Adventure",2h 14m,8.4/10,U,390K
Avengers: Endgame,2019,,"Action, Adventure, Drama",3h 1m,8.4/10,UA,1.1M
Once Upon a Time in America,1984,"A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime, Drama",3h 49m,8.3/10,A,349K
Good Will Hunting,1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama, Romance",2h 6m,8.3/10,U,955K
Kimi no na wa.,2016,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Animation, Drama, Fantasy",1h 46m,8.4/10,U,262K
Requiem for a Dream,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,1h 42m,8.3/10,A,833K
Toy Story 3,2010,,"Animation, Adventure, Comedy",1h 43m,8.3/10,U,828K
Singin' in the Rain,1952,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy, Musical, Romance",1h 43m,8.3/10,G,241K
3 Idiots,2009,,"Comedy, Drama",2h 50m,8.4/10,UA,396K
Tengoku to jigoku,1963,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Crime, Drama, Mystery",2h 23m,8.4/10,Not Rated,45K
Star Wars: Episode VI - Return of the Jedi,1983,,"Action, Adventure, Fantasy",2h 11m,8.3/10,U,1M
2001: A Space Odyssey,1968,,"Adventure, Sci-Fi",2h 29m,8.3/10,U,662K
Eternal Sunshine of the Spotless Mind,2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Drama, Romance, Sci-Fi",1h 48m,8.3/10,UA,996K
Reservoir Dogs,1992,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","Crime, Thriller",1h 39m,8.3/10,15+,1M
Capharnaüm,2018,"While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,2h 6m,8.4/10,A,88K
Jagten,2012,,Drama,1h 55m,8.3/10,7,326K
Lawrence of Arabia,1962,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.","Adventure, Biography, Drama",3h 38m,8.3/10,U,292K
